Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2023-03,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
2023-04,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,x
2023-05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2023-07,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2023-08,x,x,x,x,x,x,x,x,x,x,x,x,x,0,0,x,x,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,x
2023-10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,x,x,x,1,1,0,1,0,0,1,1,0,0,0
2023-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,x,x,x,x,x,x,x,x,x,x,x,x,x
2023-12,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,x,x,x,x,x,x
2024-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,2,1,0,0,1,0,1
2024-02,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x
2024-03,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
