Month,Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
3,2023,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
4,2023,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,x
5,2023,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2023,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
7,2023,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
8,2023,x,x,x,x,x,x,x,x,x,x,x,x,x,0,0,x,x,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,1,1,,,,,,,,,,,x
10,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
12,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x
3,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
7,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
10,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
12,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
